Industry,"('OLS', 'likelihood')","('OLS', 'aic')","('OLS', 'bic')","('OLS', 'alpha')","('OLS', 'beta')","('OLS', 'sigma2')","('OLS', 'alpha_se')","('OLS', 'beta_se')","('HMM', 'convergence')","('HMM', 'likelihood')","('HMM', 'aic')","('HMM', 'bic')","('HMM', 'alpha_0')","('HMM', 'alpha_1')","('HMM', 'beta_0')","('HMM', 'beta_1')","('HMM', 'sigma2_0')","('HMM', 'sigma2_1')","('HMM', 'p00')","('HMM', 'p10')","('HMM', 'alpha_0_se')","('HMM', 'alpha_1_se')","('HMM', 'beta_0_se')","('HMM', 'beta_1_se')","('HMM', 'sigma2_0_se')","('HMM', 'sigma2_1_se')","('HMM', 'p00_se')","('HMM', 'p10_se')","('HMM', 'alpha_cov')","('HMM', 'beta_cov')","('HMM', 'sigma2_cov')","('HMM', 'prob_cov')","('HMM', 'prob_0')","('HMM', 'prob_1')","('HMM', 'mean_prob_0')","('HMM', 'mean_prob_1')"
Rubbr,1688.7515845612725,-3373.503169122545,-3363.5862723359496,0.0010857791671244291,1.2090774209798343,0.0023660616443074863,0.0015106962361585174,0.028210974760467328,True,1918.1224999769654,-3820.244999953931,-3780.5774128075495,-0.000681180875480863,0.010284499615847225,1.0518046124548854,1.3505832518976328,0.0008523074683783874,0.00686259775592776,0.9884380387826786,0.03546222016620113,0.0010778690716673617,0.0056963703135396865,0.03498342063641179,0.17089392576265058,7.061443855600575e-05,0.0014791760689463072,0.004789484829486002,0.019201936948182754,1.3193591839175233e-07,-0.001730399988937626,5.6106340313824624e-08,-2.7791978611241896e-05,0.99279899296287,0.007201007037129968,0.7640309957529327,0.23596900424706624
Txtls,1827.9174234871502,-3651.8348469743005,-3641.8070160246793,-0.0006057627352281198,1.1443215999310299,0.002190340755432034,0.0014141863031521165,0.02631950952715893,True,1975.0495753717246,-3934.099150743449,-3893.987826944965,-0.0019748179449292414,-0.00015394300850778446,1.155668191426054,1.131588794763642,0.006755880585406382,0.0010006089366649137,0.9197644337612143,0.020599517857227738,0.0056509189923720235,0.0012545898028654293,0.09137096653508738,0.04574071845111433,0.0017184371289730648,8.738206598603882e-05,0.029299824140938183,0.00755814761578245,-1.053373383107794e-06,-0.00152195831107611,8.189520903363568e-08,-7.872107331125466e-05,0.1736170865212864,0.8263829134787136,0.2058817908480391,0.7941182091519636
BldMt,2305.5982658917574,-4607.196531783515,-4597.168700833894,-0.0005432208098665606,1.1633581982171575,0.0009276682698364963,0.0009203375371977741,0.017128459329925558,True,2438.1999566384984,-4860.399913276997,-4820.288589478512,0.0033937212777760965,-0.001168331414362092,1.1345949221850211,1.1815377847682993,0.003851657520531238,0.0005356570527789414,0.9174185320056837,0.010765696640891007,0.007255647303474297,0.0007960498028535114,0.08221517304911663,0.03640462647272778,0.0011879288328116955,4.817795136565092e-05,0.03364358238741724,0.006762555685799683,-9.574659968123716e-07,-0.00149985907938947,3.983212711244457e-08,-8.692328391670375e-05,0.06699514471489548,0.9330048552851046,0.11669572371396623,0.8833042762860327
Cnstr,1550.1674662313321,-3096.3349324626643,-3086.307101513043,-0.0015285367014123852,1.3518222674418123,0.0036096377124493245,0.0018154428933635691,0.03378732096428445,True,1727.1006363702977,-3438.2012727405954,-3398.0899489421113,-0.00494483601894515,0.008185191063007373,1.3125340705269262,1.3841264595725165,0.001466465661363639,0.009327360626552492,0.9873265264545711,0.03343254920695481,0.0018253340256704214,0.006385552563349258,0.05505206246979106,0.12491469558899854,0.00013079308418252844,0.002223060378500571,0.008505670446508818,0.03133593765476958,-1.9337145508980695e-06,-0.003403796576258334,1.2899165744406027e-07,-0.000206153770129842,0.9897123752176763,0.010287624782323555,0.7332895844970557,0.2667104155029412
Steel,1907.9197010169655,-3811.839402033931,-3801.81157108431,-0.0026414678931332074,1.3572680992690844,0.0018967997793647015,0.00131601709209473,0.024492476214829754,True,2018.8071715960432,-4021.6143431920864,-3981.5030193936022,-0.005005652481885293,0.004894815449256156,1.1741611951081994,1.5497400644453152,0.0008930893749778132,0.003649798837076503,0.9749354422040207,0.054571245803015415,0.0014733872808832095,0.004687296429057883,0.04997894898100465,0.17624271089700622,0.00014104726195672996,0.0005666347462360138,0.020856020513010994,0.05586067595654915,-2.853981527423078e-06,-0.0044141521511182535,-8.521954173716495e-09,-0.0009839342081588555,0.42797648773130625,0.5720235122686939,0.6849075176015135,0.3150924823984848
FabPr,1010.0981221487277,-2016.1962442974555,-2007.187667950382,-0.0019659361451019024,1.1107118555329891,0.002853741216200671,0.002081822827522936,0.04706022755153172,True,1039.6347811607343,-2063.2695623214686,-2027.2352569331754,-0.0020049427915903766,-0.0017540318949893637,1.0995614350499896,1.1290935120528465,0.0015448287750253363,0.005735341361661921,0.9561172305200001,0.09640786770189384,0.003466836150101252,0.008199745934925451,0.07244205914121833,0.1390222715123819,0.00039661295290304896,0.001203530375051181,0.044045582365040074,0.05971329841343986,-1.822392370054589e-05,-0.004674802821329558,3.403307329904322e-07,-0.0018830219510976732,0.255682168812166,0.7443178311878339,0.6897890278167361,0.3102109721832652
Mach ,2356.81977310034,-4709.63954620068,-4699.61171525106,-0.000382619555769014,1.2432502344292076,0.0008460252352530449,0.000878906028361812,0.016357374933829986,True,2451.5193086097484,-4887.038617219497,-4846.927293421012,0.0020246951010663874,-0.001235906817969053,1.3071253670086913,1.1497905276831013,0.001534455918146292,0.0004226701174365961,0.982365011775037,0.01011863057114301,0.002439684014211393,0.0010605815488404448,0.037205318529715335,0.022703711876655302,0.0001831067764633377,3.91736681077406e-05,0.014773269989644414,0.007923791454891211,-1.0460306349910577e-06,-6.428524182701124e-05,1.7147803683080498e-09,-7.904007277521136e-05,0.8265517343184884,0.17344826568151167,0.36041044965366453,0.639589550346334
ElcEq,2228.7561557722725,-4453.512311544545,-4443.484480594924,0.00041800772047853076,1.284414942153007,0.0010651590769938687,0.0009861841560731789,0.018353934862363946,True,2228.7561557722725,-4441.512311544545,-4401.40098774606,0.00041800772047852815,0.00041800772047852815,1.2844149421530076,1.2844149421530076,0.0010632433232582682,0.0010632433232582682,0.5,0.5,0.0009710221831915732,0.0009710221831853122,0.026461764682218877,0.02646176468222251,5.575922683354425e-05,5.575922679001077e-05,1.1210302090534959e-12,1.1092975715761287e-12,9.428840802440372e-07,0.0007002249900972225,3.109091374657643e-09,-1.243371909714908e-24,0.5,0.5,0.5,0.5
Autos,1907.26239250781,-3810.52478501562,-3800.496954065999,-0.0002883285677751819,1.247534001793416,0.0018990435202007024,0.0013167952260377737,0.024506958114195985,True,2038.4488280285957,-4060.8976560571914,-4020.7863322587073,0.002887117015293969,-0.001565379743875941,1.3059922190374695,1.1507146685854308,0.003767864222794603,0.0007256514080806964,0.9657462259279178,0.02151981065533342,0.0032985494164785613,0.0012059171749511377,0.08014569347325586,0.030710368871470516,0.0006976666567894831,6.372193547597377e-05,0.024867175536237823,0.010738937487133962,-7.160973527069082e-07,-8.995843890523793e-05,2.182928121021488e-08,-0.00020050570140198016,0.34955204093141673,0.6504479590685833,0.37704735778858905,0.6229526422114126
Aero ,1544.1402114284697,-3084.2804228569394,-3074.252591907318,0.0029324731827571524,1.3070559465999287,0.003648980439691045,0.0018253096602665437,0.03397095197875989,True,1747.3209162689964,-3478.6418325379927,-3438.5305087395086,-0.0008697420616735031,0.016237776615608338,1.1558081495349548,1.4610125157653793,0.0013005664911833507,0.010078534334202235,0.9706170897854889,0.0861318724993935,0.001581381891990527,0.007971610171562086,0.0686054358361105,0.13160822969381594,0.00016739369772035784,0.0024137287018105367,0.014675472314125491,0.05538801541776555,-1.2588043813144803e-06,-0.0037352394953119763,2.1433122107517176e-07,-0.000572226205004291,0.8787608638939405,0.12123913610605964,0.7485882843317849,0.2514117156682136
